DATE TIME, WINDSPEED, DIR, GUSTS, AT, BARO, RELHUM, VIS
10/23/2012 00:00,2.40,248,3.10,15.3,1019.8,,
10/23/2012 00:06,2.40,252,3.00,15.4,1019.9,,
10/23/2012 00:12,2.50,251,2.90,15.5,1019.9,,
10/23/2012 00:18,2.50,246,3.10,15.3,1019.9,,
10/23/2012 00:24,2.70,244,3.20,15.4,1019.9,,
10/23/2012 00:30,3.10,237,3.50,15.2,1019.8,,
10/23/2012 00:36,3.00,238,3.50,15.0,1019.8,,
10/23/2012 00:42,2.40,233,3.00,14.7,1019.9,,
10/23/2012 00:48,2.80,237,3.70,14.5,1019.9,,
10/23/2012 00:54,2.60,235,3.00,14.6,1019.8,,
10/23/2012 01:00,3.00,239,3.70,14.7,1019.8,,
10/23/2012 01:06,3.50,243,4.10,14.9,1019.9,,
10/23/2012 01:12,3.50,244,4.20,14.9,1019.9,,
10/23/2012 01:18,3.20,244,4.20,14.5,1020.0,,
10/23/2012 01:24,3.40,247,4.50,14.5,1020.0,,
10/23/2012 01:30,3.40,245,4.30,14.4,1020.0,,
10/23/2012 01:36,3.50,242,4.40,14.5,1020.0,,
10/23/2012 01:42,3.00,238,4.00,14.4,1019.9,,
10/23/2012 01:48,2.90,234,3.60,14.3,1019.9,,
10/23/2012 01:54,2.90,229,3.60,14.1,1019.9,,
10/23/2012 02:00,2.50,231,3.40,13.9,1019.9,,
10/23/2012 02:06,2.90,233,3.90,13.8,1020.0,,
10/23/2012 02:12,2.90,233,3.70,13.7,1020.1,,
10/23/2012 02:18,2.90,236,4.10,13.7,1020.2,,
10/23/2012 02:24,2.80,239,4.20,13.6,1020.1,,
10/23/2012 02:30,2.80,247,3.40,13.6,1020.2,,
10/23/2012 02:36,3.10,242,3.90,13.9,1020.1,,
10/23/2012 02:42,3.00,241,4.60,13.8,1020.1,,
10/23/2012 02:48,3.20,244,4.60,13.9,1020.2,,
10/23/2012 02:54,3.20,245,4.60,14.0,1020.1,,
10/23/2012 03:00,3.50,244,4.30,14.0,1020.1,,
10/23/2012 03:06,3.60,244,4.40,13.8,1020.1,,
10/23/2012 03:12,3.70,245,4.70,13.9,1020.0,,
10/23/2012 03:18,3.50,240,4.70,13.8,1019.9,,
10/23/2012 03:24,3.70,237,4.70,13.7,1019.9,,
10/23/2012 03:30,3.50,238,4.70,13.6,1019.8,,
10/23/2012 03:36,3.10,240,4.00,13.7,1019.8,,
10/23/2012 03:42,3.00,244,4.10,13.6,1019.8,,
10/23/2012 03:48,3.10,251,4.00,13.7,1019.8,,
10/23/2012 03:54,2.40,243,3.20,13.6,1019.7,,
10/23/2012 04:00,2.70,243,3.50,13.5,1019.8,,
10/23/2012 04:06,2.60,248,3.90,13.6,1019.8,,
10/23/2012 04:12,2.80,244,3.80,13.6,1019.7,,
10/23/2012 04:18,3.00,243,4.10,13.6,1019.7,,
10/23/2012 04:24,2.50,240,3.40,13.6,1019.6,,
10/23/2012 04:30,1.80,233,3.00,13.6,1019.6,,
10/23/2012 04:36,1.90,236,2.60,13.7,1019.7,,
10/23/2012 04:42,1.70,232,2.60,13.6,1019.6,,
10/23/2012 04:48,1.90,231,2.30,13.6,1019.6,,
10/23/2012 04:54,2.00,233,2.50,13.6,1019.6,,
10/23/2012 05:00,2.00,243,2.40,13.4,1019.7,,
10/23/2012 05:06,2.00,251,2.50,13.5,1019.7,,
10/23/2012 05:12,1.70,252,2.40,13.5,1019.8,,
10/23/2012 05:18,1.80,253,2.40,13.7,1019.7,,
10/23/2012 05:24,1.50,256,2.20,13.7,1019.6,,
10/23/2012 05:30,1.80,259,2.20,13.8,1019.5,,
10/23/2012 05:36,2.10,257,2.60,13.8,1019.6,,
10/23/2012 05:42,2.00,258,2.30,13.4,1019.6,,
10/23/2012 05:48,2.40,254,2.90,13.1,1019.6,,
10/23/2012 05:54,2.30,252,3.00,13.1,1019.6,,
10/23/2012 06:00,2.30,252,2.90,13.1,1019.5,,
10/23/2012 06:06,2.30,254,3.30,13.1,1019.5,,
10/23/2012 06:12,2.30,243,3.10,13.0,1019.4,,
10/23/2012 06:18,3.00,250,3.60,13.1,1019.4,,
10/23/2012 06:24,2.90,253,3.40,12.9,1019.6,,
10/23/2012 06:30,2.60,256,3.30,12.8,1019.7,,
10/23/2012 06:36,2.60,256,3.60,13.0,1019.6,,
10/23/2012 06:42,2.60,262,3.70,13.1,1019.6,,
10/23/2012 06:48,2.80,268,3.70,13.4,1019.5,,
10/23/2012 06:54,2.50,260,3.00,13.6,1019.5,,
10/23/2012 07:00,1.80,257,2.80,13.6,1019.5,,
10/23/2012 07:06,2.00,254,2.70,13.6,1019.4,,
10/23/2012 07:12,1.40,244,1.80,13.7,1019.4,,
10/23/2012 07:18,1.30,240,1.80,13.6,1019.4,,
10/23/2012 07:24,1.30,237,1.90,13.4,1019.4,,
10/23/2012 07:30,1.50,224,1.90,13.2,1019.4,,
10/23/2012 07:36,1.70,243,2.10,13.1,1019.4,,
10/23/2012 07:42,1.70,240,2.80,13.1,1019.4,,
10/23/2012 07:48,1.60,244,2.30,13.0,1019.4,,
10/23/2012 07:54,1.70,246,1.90,13.0,1019.3,,
10/23/2012 08:00,2.10,254,2.50,13.2,1019.4,,
10/23/2012 08:06,1.30,260,1.80,13.1,1019.4,,
10/23/2012 08:12,1.80,240,2.40,12.9,1019.3,,
10/23/2012 08:18,1.90,237,2.50,12.9,1019.3,,
10/23/2012 08:24,2.00,245,2.60,13.0,1019.4,,
10/23/2012 08:30,2.00,246,2.70,13.0,1019.4,,
10/23/2012 08:36,2.00,248,2.70,13.3,1019.3,,
10/23/2012 08:42,2.10,251,2.90,13.6,1019.4,,
10/23/2012 08:48,1.70,250,2.20,13.6,1019.4,,
10/23/2012 08:54,1.90,253,2.60,13.7,1019.4,,
10/23/2012 09:00,1.70,253,2.30,13.7,1019.4,,
10/23/2012 09:06,1.70,251,2.40,13.7,1019.4,,
10/23/2012 09:12,1.60,245,2.30,13.6,1019.4,,
10/23/2012 09:18,1.70,238,2.40,13.2,1019.4,,
10/23/2012 09:24,2.70,230,3.70,13.3,1019.4,,
10/23/2012 09:30,2.90,229,3.80,13.2,1019.4,,
10/23/2012 09:36,3.10,231,3.80,13.2,1019.4,,
10/23/2012 09:42,3.00,231,3.90,13.2,1019.4,,
10/23/2012 09:48,2.80,233,3.70,13.2,1019.4,,
10/23/2012 09:54,3.00,233,4.30,13.2,1019.5,,
10/23/2012 10:00,2.90,234,3.70,13.2,1019.5,,
10/23/2012 10:06,3.20,234,3.80,13.4,1019.5,,
10/23/2012 10:12,3.10,234,4.00,13.4,1019.5,,
10/23/2012 10:18,3.30,234,4.20,13.5,1019.5,,
10/23/2012 10:24,3.40,238,4.00,13.6,1019.7,,
10/23/2012 10:30,3.10,232,4.00,13.5,1019.7,,
10/23/2012 10:36,3.40,232,4.50,13.6,1019.8,,
10/23/2012 10:42,3.30,234,4.40,13.5,1019.9,,
10/23/2012 10:48,3.50,231,4.20,13.5,1019.9,,
10/23/2012 10:54,3.60,229,4.50,13.7,1019.9,,
10/23/2012 11:00,3.60,235,4.80,13.5,1019.9,,
10/23/2012 11:06,3.70,233,4.30,13.5,1020.0,,
10/23/2012 11:12,3.50,228,4.50,13.4,1020.0,,
10/23/2012 11:18,3.60,228,4.70,13.4,1020.0,,
10/23/2012 11:24,3.40,232,4.30,13.4,1020.1,,
10/23/2012 11:30,3.30,235,4.00,13.4,1020.1,,
10/23/2012 11:36,3.60,233,4.20,13.5,1020.2,,
10/23/2012 11:42,2.90,237,3.60,13.4,1020.3,,
10/23/2012 11:48,1.40,261,2.20,13.4,1020.3,,
10/23/2012 11:54,2.10,248,2.60,13.5,1020.4,,
10/23/2012 12:00,2.10,240,2.80,13.6,1020.4,,
10/23/2012 12:06,2.30,245,3.40,13.9,1020.5,,
10/23/2012 12:12,2.70,240,3.80,14.2,1020.4,,
10/23/2012 12:18,2.80,245,3.70,14.5,1020.5,,
